index,Unnamed: 0,age,num_children,gender,reported_height,reported_weight,reported_pants_size_waist,reported_pants_size_inseam,bra_size_chest,bra_size_cup,age_range,shoe_size_us,ankle_circum,spine_to_scye_len,spine_to_elbow_len,arm_len_spine_wrist,arm_len_shoulder_wrist,arm_len_shoulder_elbow,scye_circum,chest_circum,chest_circum_below_bust,chest_circum_scye,jean_inseam,hand_len,hip_circum,hip_height,neck_circum_base,bideltoid_breadth,height,thigh_circum_proximal,u_crotch,waist_circum_preferred,waist_height_preferred,weight,biacromial_breadth,bicristal_breadth,bust_to_bust,cervical_height,chest_height,interscye_dist,acromion_height,acromion_radial_len,ankle_height_inside,ankle_height_outside,axilla_height,elbow_height,knee_height,radial_stylion_len,sleeve_inseam,sleeve_outseam,acromion_radial_stylion_len,shoulder_len,dataset
73,11001.0,39.0,2.0,female,68.11,132.28,29.0,31.0,36.0,1.0,36-45,6.5,8.94,7.36,21.46,31.1,23.74,14.09,15.75,35.59,31.22,33.23,31.46,7.13,39.37,32.05,17.48,15.98,67.83,22.24,25.31,28.5,41.46,134.26,14.15,11.06,7.1,57.75,48.49,14.62,56.065,13.165,3.435,2.7,52.185,43.81,17.655,9.4,18.58,22.23,22.565,7.36,caesar
89,11035.0,38.0,1.0,female,68.9,136.69,29.0,33.0,34.0,0.0,36-45,8.5,9.49,7.87,21.46,32.28,24.41,13.58,14.33,36.42,31.1,36.38,34.02,7.52,37.72,34.65,17.13,16.77,68.7,21.18,25.51,28.43,43.43,135.8,15.56,10.95,7.33,57.54,50.9,15.55,56.29,12.815,3.125,2.465,52.635,43.77,18.87,10.285,19.005,22.325,23.1,7.87,caesar
93,11042.0,57.0,0.0,female,66.14,138.89,28.0,30.0,36.0,1.0,56-65,8.5,9.84,7.87,20.83,30.98,23.11,12.95,16.14,35.43,31.1,34.29,31.06,7.09,37.87,31.3,15.75,16.46,66.38,22.6,26.57,29.13,41.77,138.89,15.33,12.49,7.47,56.74,46.62,15.04,53.925,11.95,2.995,2.675,49.99,42.465,18.145,9.075,16.695,20.43,21.025,7.87,caesar
99,11054.0,37.0,0.0,female,68.9,169.76,33.0,32.0,38.0,3.0,36-45,8.5,9.37,7.87,21.3,31.42,23.54,13.43,17.8,43.27,34.69,39.84,31.46,6.97,41.3,33.27,19.02,17.05,68.46,24.8,28.23,35.16,41.93,178.13,15.0,13.03,8.59,57.91,47.05,15.46,56.725,12.59,3.08,2.81,51.21,44.78,18.085,9.225,16.13,21.5,21.815,7.88,caesar
116,11096.0,24.0,0.0,female,67.72,156.53,33.0,30.0,36.0,1.0,17-25,8.5,9.49,8.39,21.61,31.22,22.83,13.23,16.18,37.01,31.42,36.65,31.81,7.4,42.72,32.44,18.86,18.5,68.39,25.0,29.33,33.15,40.83,160.72,14.77,12.1,8.35,58.38,48.8,15.65,56.44,12.79,3.07,2.695,51.575,44.29,17.95,9.615,17.58,21.62,22.405,8.39,caesar
117,11098.0,31.0,0.0,female,67.72,147.71,32.0,34.0,34.0,1.0,26-35,8.5,9.72,8.5,22.24,33.58,25.08,13.74,15.24,35.79,31.02,35.43,34.13,7.64,41.02,35.31,17.24,16.93,67.87,25.24,25.79,29.96,43.27,158.95,14.18,10.97,8.48,58.32,49.32,13.47,56.29,13.215,2.89,2.545,51.725,43.82,18.705,10.015,18.505,22.63,23.23,8.5,caesar
126,11116.0,52.0,1.0,female,66.54,136.69,29.0,30.0,34.0,1.0,46-55,10.5,9.76,8.07,20.47,30.59,22.52,12.4,14.92,34.49,30.12,34.65,31.57,7.36,39.65,31.97,17.13,16.1,66.97,22.44,27.48,27.6,41.06,135.14,15.17,11.03,6.85,56.82,48.05,14.73,54.295,12.085,3.125,2.455,50.78,43.105,17.955,9.485,17.36,21.11,21.57,8.07,caesar
128,11127.0,46.0,0.0,female,64.96,147.71,32.0,32.0,38.0,2.0,46-55,7.5,9.45,7.68,20.47,29.92,22.24,12.8,16.61,38.19,32.56,35.98,29.88,6.81,39.92,32.09,16.34,15.94,64.96,22.83,25.98,31.06,39.76,143.52,14.5,11.93,8.37,55.7,46.3,15.12,53.69,12.035,2.99,2.435,49.92,42.005,17.31,8.74,16.53,20.6,20.775,7.68,caesar
136,11144.0,35.0,0.0,female,66.93,156.53,31.0,30.0,38.0,2.0,26-35,7.5,9.53,7.36,20.87,30.28,22.91,13.5,15.63,38.94,33.98,36.61,32.8,7.13,41.06,31.46,16.65,16.57,67.64,24.09,21.65,35.08,38.94,161.6,13.89,12.02,9.04,57.76,48.58,14.45,55.755,11.875,3.22,2.685,51.33,44.035,17.935,9.48,16.66,20.905,21.355,7.37,caesar
139,11148.0,52.0,1.0,female,66.14,141.1,30.0,30.0,34.0,3.0,46-55,7.5,10.08,7.87,20.47,30.31,22.44,12.6,17.24,37.24,31.89,34.84,30.2,7.13,41.93,31.34,19.33,16.18,65.08,22.91,26.61,34.72,39.33,142.42,14.6,11.21,9.0,54.83,46.78,13.63,52.655,11.955,3.255,2.71,49.225,41.225,17.53,8.875,17.4,20.67,20.83,7.87,caesar
148,11161.0,44.0,3.0,female,64.17,141.1,31.0,32.0,34.0,0.0,36-45,8.5,9.45,8.39,20.47,29.13,20.75,12.09,14.92,37.4,33.98,36.81,29.69,7.13,40.35,30.35,17.72,16.85,64.45,23.62,27.8,29.45,39.84,140.88,14.37,11.06,7.1,54.6,46.71,14.35,53.265,11.585,3.515,2.635,49.76,42.37,16.96,8.205,16.195,19.81,19.79,8.38,caesar
149,11162.0,34.0,3.0,female,66.93,149.91,33.0,32.0,38.0,2.0,26-35,9.5,9.84,8.74,20.87,30.71,21.97,12.13,14.96,39.13,33.19,37.72,32.6,7.32,38.98,32.17,16.57,18.23,67.05,24.13,24.02,33.43,40.79,154.76,16.37,11.96,7.75,57.9,47.54,16.3,54.445,11.455,3.15,2.705,51.06,43.6,18.355,9.165,17.56,20.285,20.62,8.74,caesar
157,11174.0,38.0,2.0,female,62.2,155.43,34.0,29.0,36.0,1.0,36-45,7.5,9.25,6.81,19.57,29.13,22.32,12.76,18.35,40.55,34.13,36.61,28.82,6.93,42.8,32.01,20.08,15.39,62.44,26.38,26.18,39.84,38.54,170.64,13.04,13.64,9.19,53.04,46.24,13.19,51.825,11.745,2.96,2.625,48.015,40.69,16.9,9.855,17.39,20.66,21.6,6.81,caesar
158,11175.0,52.0,2.0,female,65.75,180.78,36.0,31.0,36.0,3.0,46-55,8.5,9.65,8.35,20.08,29.41,21.06,11.73,16.22,41.93,33.39,38.9,30.08,7.09,43.78,33.15,17.95,17.01,64.76,25.39,28.35,35.16,39.57,174.39,15.86,12.45,9.21,54.65,45.16,15.82,53.015,11.175,3.0,2.865,49.205,41.92,17.35,9.295,16.21,19.74,20.47,8.35,caesar
170,11192.0,44.0,2.0,female,65.75,169.76,34.0,34.0,36.0,2.0,36-45,6.5,9.29,8.15,20.91,30.2,22.05,12.76,16.81,42.4,34.57,39.57,30.75,6.77,43.5,32.36,17.01,17.48,64.84,25.98,29.72,34.88,41.18,174.61,14.74,13.86,8.45,55.09,45.22,17.14,53.18,12.135,2.805,2.55,47.99,42.18,17.79,8.57,15.525,20.21,20.705,8.15,caesar
192,11221.0,31.0,0.0,female,66.54,139.99,30.0,31.0,36.0,0.0,26-35,9.5,9.29,7.64,20.59,30.51,22.87,12.95,15.35,35.35,30.31,35.16,32.2,7.48,39.49,32.32,16.26,16.02,66.26,23.35,24.8,28.43,40.63,141.32,14.24,10.21,7.18,56.13,48.42,14.49,54.155,11.625,3.15,2.72,50.16,43.32,18.145,9.27,16.51,20.855,20.895,7.64,caesar
193,11223.0,54.0,2.0,female,60.63,134.48,31.0,28.0,34.0,1.0,46-55,7.5,9.84,7.24,19.21,28.23,20.98,11.97,17.24,37.8,31.42,36.46,27.99,6.69,39.25,31.69,19.84,14.84,60.0,23.39,25.83,32.76,36.65,141.54,13.76,12.35,8.01,51.41,42.25,14.98,48.98,10.91,2.99,2.825,44.99,39.065,16.495,8.525,15.315,19.16,19.435,7.25,caesar
199,11232.0,36.0,0.0,female,66.93,127.87,28.0,31.0,34.0,0.0,36-45,8.5,9.57,7.44,20.47,30.71,23.27,13.03,13.98,33.27,28.54,32.48,32.09,7.56,37.99,32.48,17.52,15.08,66.14,22.44,25.79,26.73,41.65,126.99,14.41,10.5,6.88,56.42,47.31,14.04,53.93,11.895,2.665,2.725,50.695,42.485,18.1,10.015,18.595,21.555,21.91,7.44,caesar
201,11235.0,42.0,2.0,female,70.08,182.98,34.0,36.0,36.0,3.0,36-45,9.5,9.84,7.87,21.02,32.28,24.41,13.15,16.65,41.14,32.48,38.78,33.07,7.91,44.06,33.66,17.6,17.13,69.29,26.3,30.71,33.35,44.29,190.92,15.36,13.7,8.67,59.45,50.33,14.89,57.115,12.47,3.125,2.435,52.955,45.37,18.94,10.015,17.535,21.82,22.485,7.87,caesar
202,11236.0,56.0,0.0,female,62.99,143.3,32.0,29.0,34.0,1.0,56-65,9.5,10.0,7.87,20.39,29.88,22.01,12.52,15.59,36.22,30.51,35.24,31.02,7.13,43.27,30.63,16.93,17.17,62.91,26.42,26.46,30.0,39.84,151.24,14.65,11.24,8.4,53.41,44.9,14.77,50.98,11.405,2.91,2.715,46.88,40.265,17.545,9.485,16.885,19.705,20.89,7.87,caesar
212,11250.0,35.0,2.0,female,66.93,176.37,34.0,31.0,38.0,1.0,26-35,7.5,8.86,8.27,20.67,30.31,22.05,12.4,18.43,39.49,34.25,38.07,29.65,6.85,44.17,30.28,16.54,18.03,66.89,26.57,28.82,34.8,40.35,181.22,14.21,13.05,7.96,57.3,48.1,15.2,55.04,11.65,3.285,2.61,49.745,44.14,17.0,8.965,15.41,20.08,20.615,8.26,caesar
223,11270.0,51.0,3.0,female,64.96,145.51,30.0,29.0,36.0,2.0,46-55,7.5,9.33,7.48,20.08,29.29,21.81,12.6,16.81,35.98,29.76,33.82,30.12,6.97,38.19,30.98,17.32,15.51,64.29,21.5,24.96,28.58,39.29,127.87,14.17,10.54,8.25,54.51,44.57,12.66,52.08,11.42,3.28,2.57,48.425,41.2,17.555,8.35,16.05,19.965,19.77,7.48,caesar
231,11280.0,45.0,3.0,female,63.39,110.23,29.0,31.0,34.0,1.0,36-45,6.5,9.09,7.17,19.8,29.37,22.2,12.64,14.33,33.54,30.08,32.99,30.47,7.13,35.83,31.89,15.71,15.43,63.11,19.84,26.54,27.8,39.72,115.74,14.42,12.04,6.3,54.06,44.9,13.63,51.22,11.12,3.285,2.43,47.205,40.585,17.515,9.415,16.34,20.055,20.535,7.17,caesar
243,11304.0,52.0,3.0,female,66.14,191.8,36.0,32.0,38.0,2.0,46-55,8.5,10.31,8.31,21.77,31.1,22.8,13.46,18.7,41.38,36.77,40.47,28.74,7.17,44.45,29.61,16.81,16.81,65.51,27.2,28.23,38.98,37.72,196.87,15.28,13.65,8.43,55.95,47.36,16.19,53.4,11.96,3.07,2.89,48.62,41.375,16.88,9.545,16.17,20.48,21.505,8.3,caesar
244,11305.0,54.0,2.0,female,66.93,123.46,29.0,30.0,34.0,1.0,46-55,7.5,9.06,7.64,20.87,31.1,23.46,13.23,13.03,32.52,27.17,31.34,32.05,7.4,40.04,32.8,15.59,15.31,65.28,22.68,23.94,27.36,41.14,115.96,14.33,10.25,5.99,55.57,47.35,13.25,53.61,12.325,2.705,2.595,49.97,42.29,18.545,10.095,18.695,22.045,22.42,7.64,caesar
249,11315.0,60.0,1.0,female,66.93,165.35,32.0,30.0,38.0,3.0,56-65,9.5,10.2,8.19,20.87,30.47,22.28,12.68,15.94,41.38,35.43,39.02,29.76,7.52,40.28,31.54,17.48,16.34,64.96,24.92,28.9,32.91,40.55,164.24,14.63,13.6,9.34,54.92,45.94,16.96,52.825,11.88,3.105,2.625,48.96,41.425,17.275,8.665,16.26,20.045,20.545,8.19,caesar
253,11324.0,26.0,0.0,female,70.47,154.32,29.0,31.0,34.0,2.0,26-35,9.5,8.31,7.87,20.87,30.83,22.95,12.99,15.47,37.2,31.65,35.83,33.07,7.28,40.24,34.02,16.93,16.61,69.57,23.66,26.42,29.49,42.8,150.58,15.53,11.16,8.28,59.43,51.11,15.34,56.5,11.695,3.375,2.925,52.925,45.58,18.855,9.775,17.63,21.085,21.47,7.88,caesar
266,11344.0,46.0,2.0,female,66.14,141.1,31.0,32.0,36.0,1.0,46-55,8.5,10.28,8.15,21.3,32.56,24.41,13.15,14.57,38.46,33.7,36.97,31.18,7.56,42.8,31.34,17.13,16.85,65.91,24.53,28.35,31.02,40.83,157.19,15.52,12.54,8.58,55.78,46.0,15.51,52.305,12.305,3.01,2.395,48.615,40.525,17.67,10.615,18.575,22.375,22.92,8.15,caesar
272,11364.0,44.0,0.0,female,62.99,143.3,34.0,36.0,36.0,2.0,36-45,7.5,9.02,7.48,18.9,28.11,20.63,11.42,12.24,39.02,32.83,37.52,28.82,6.77,39.09,30.0,16.89,15.75,62.76,22.56,26.5,33.15,37.36,139.55,14.14,12.19,8.82,52.57,44.11,14.92,50.98,11.025,2.99,2.61,46.71,40.755,16.36,8.505,14.565,19.1,19.53,7.48,caesar
273,11367.0,40.0,2.0,female,63.78,121.25,28.0,28.0,34.0,3.0,36-45,6.5,8.82,7.95,19.88,28.86,20.91,11.93,14.96,38.15,29.76,34.25,27.72,6.65,36.42,28.15,16.34,16.57,62.68,21.65,25.47,28.78,36.89,121.03,15.24,10.75,7.57,52.1,43.34,14.69,50.19,10.93,2.975,2.655,46.4,39.935,15.96,8.51,15.54,19.235,19.44,7.95,caesar
274,11368.0,36.0,0.0,female,66.54,143.3,31.0,36.0,36.0,2.0,36-45,9.5,9.29,7.28,20.08,30.0,22.72,12.8,16.5,39.17,32.01,35.83,32.09,7.32,40.31,33.98,16.42,16.02,67.13,22.24,26.1,31.5,42.36,147.71,14.34,11.83,8.03,57.49,49.05,14.02,54.95,11.94,3.415,2.52,51.59,43.715,18.825,9.455,17.635,20.87,21.395,7.28,caesar
276,11373.0,19.0,0.0,female,70.47,176.37,32.0,33.0,36.0,2.0,17-25,11.5,10.39,7.8,22.52,32.76,24.96,14.72,16.65,39.76,32.83,37.99,33.43,7.95,44.17,34.92,17.2,17.8,69.69,25.75,27.36,35.28,42.56,182.76,15.38,12.67,8.35,60.66,51.07,16.15,58.165,13.25,3.155,2.695,53.5,45.495,19.34,10.34,18.67,22.955,23.59,7.8,caesar
283,11384.0,43.0,3.0,female,67.32,154.32,31.0,32.0,38.0,3.0,36-45,8.5,8.86,7.48,20.87,31.69,24.21,13.39,15.55,42.24,36.77,37.56,32.83,7.05,41.97,33.62,16.14,15.71,67.48,23.98,27.76,35.04,42.17,169.76,14.42,13.06,8.99,58.34,48.15,15.88,55.48,12.71,2.575,2.44,51.94,44.005,18.79,9.215,17.92,21.855,21.925,7.48,caesar
284,11385.0,38.0,3.0,female,67.32,143.3,29.0,32.0,38.0,3.0,36-45,8.5,9.25,7.95,21.06,30.91,22.95,13.11,16.61,40.83,34.8,39.37,31.77,7.56,37.99,32.4,17.91,17.24,67.24,21.26,26.06,31.69,41.54,151.46,15.23,12.46,9.13,56.99,48.11,16.71,54.435,12.325,3.365,2.585,50.955,42.725,18.39,9.365,17.91,21.45,21.69,7.96,caesar
288,11393.0,33.0,0.0,female,65.75,158.73,33.0,30.0,36.0,2.0,26-35,7.5,9.25,8.07,21.18,31.1,23.03,13.11,17.48,39.13,33.66,38.78,30.28,6.85,42.99,31.85,16.81,17.36,65.98,25.67,29.13,29.61,40.79,162.92,15.13,10.96,8.37,55.91,47.36,15.67,53.75,11.86,3.09,2.59,49.005,42.19,17.185,9.38,16.69,20.97,21.24,8.07,caesar
293,11401.0,31.0,2.0,female,66.93,132.28,30.0,34.0,34.0,1.0,26-35,10.5,9.65,7.56,21.46,31.06,23.5,13.9,15.55,35.16,31.02,34.53,32.01,7.13,39.02,32.52,17.01,16.57,67.05,21.81,23.86,30.75,40.08,141.54,14.94,12.15,7.55,56.12,47.02,15.03,54.23,12.335,3.35,2.555,49.345,42.04,18.415,9.74,16.9,22.04,22.075,7.56,caesar
296,11405.0,52.0,2.0,female,61.81,134.48,29.0,28.0,34.0,1.0,46-55,6.5,8.94,7.95,19.69,29.25,21.3,11.73,15.35,39.49,32.36,37.68,28.03,6.85,36.81,29.69,16.81,16.42,60.59,21.14,24.61,31.81,36.85,137.13,15.1,11.83,7.27,51.66,44.15,15.36,49.35,11.21,2.935,2.555,45.05,39.71,16.285,8.47,15.46,19.845,19.68,7.95,caesar
297,11406.0,36.0,1.0,female,65.75,132.28,30.0,32.0,34.0,1.0,36-45,8.5,9.29,7.48,20.75,29.92,22.44,13.27,14.13,35.08,31.69,33.5,30.75,7.52,39.8,30.75,16.3,15.47,64.69,22.24,26.18,29.65,40.28,133.16,14.1,12.05,7.4,55.58,46.64,12.86,53.1,12.14,3.41,2.68,49.005,41.75,17.53,9.19,17.205,20.845,21.33,7.48,caesar
304,11413.0,30.0,1.0,female,61.42,141.1,34.0,28.0,38.0,3.0,26-35,5.5,9.37,7.76,19.21,28.74,20.98,11.46,15.35,41.73,33.86,38.27,28.27,6.93,41.81,29.88,17.28,18.03,61.3,24.02,28.5,34.45,38.35,149.91,14.57,13.16,8.24,52.82,43.3,14.68,50.47,10.95,3.365,2.735,46.615,40.055,16.48,8.345,15.225,19.395,19.295,7.76,caesar
305,11415.0,30.0,0.0,female,67.72,149.91,29.0,32.0,38.0,2.0,26-35,8.5,9.72,7.09,19.76,29.96,22.87,12.68,15.16,38.7,32.8,36.38,32.36,7.24,41.57,32.24,16.97,15.87,67.24,24.37,27.17,30.08,41.81,157.41,13.82,11.47,8.03,56.31,48.63,15.29,55.225,11.475,3.34,2.715,51.025,44.11,18.535,9.615,16.505,20.03,21.09,7.09,caesar
310,11423.0,57.0,1.0,female,62.99,134.48,32.0,28.0,38.0,2.0,56-65,8.5,9.84,7.87,20.67,29.72,21.85,12.8,16.73,38.19,33.03,35.55,29.41,6.54,40.75,30.24,15.91,16.02,62.32,24.41,25.71,32.76,38.19,140.65,14.33,11.64,8.39,52.61,43.83,16.1,50.35,11.865,2.905,2.56,46.405,39.27,16.88,8.775,16.365,19.36,20.64,7.87,caesar
311,11425.0,45.0,2.0,female,67.72,152.12,32.0,30.0,34.0,2.0,36-45,8.5,10.28,7.76,20.55,30.55,22.8,12.8,17.83,36.54,31.22,35.12,32.28,6.93,40.16,33.43,18.5,16.81,67.64,23.43,26.97,30.91,41.46,156.53,15.29,11.12,8.64,58.44,48.74,15.3,55.955,12.37,2.865,2.575,51.33,43.74,18.42,9.01,16.835,21.16,21.38,7.75,caesar
313,11427.0,41.0,4.0,female,68.11,158.73,32.0,34.0,36.0,2.0,36-45,10.5,10.16,7.83,21.46,31.97,24.13,13.62,16.89,38.39,32.17,37.48,33.46,7.64,43.39,35.35,17.6,17.87,68.7,24.41,30.91,32.32,44.06,166.89,15.3,12.66,7.41,57.96,50.21,15.3,56.26,12.385,3.31,2.78,52.075,44.55,19.225,10.285,18.26,22.31,22.67,7.84,caesar
319,11436.0,22.0,0.0,female,64.96,121.25,29.0,28.0,34.0,1.0,17-25,7.5,9.25,6.81,18.5,28.35,21.54,11.69,15.75,33.27,28.03,32.36,29.25,7.09,37.91,31.65,16.18,14.37,64.61,22.68,25.43,27.64,38.9,122.58,12.79,10.96,7.04,52.94,45.87,12.73,51.4,11.33,2.99,2.715,47.995,40.79,16.795,9.03,16.54,20.065,20.36,6.81,caesar
320,11437.0,47.0,1.0,female,64.57,147.71,32.0,32.0,36.0,1.0,46-55,8.5,9.29,7.95,20.98,30.51,22.56,13.03,18.74,38.27,34.06,37.52,29.61,7.13,44.06,30.94,16.77,16.54,63.19,25.94,28.74,33.94,38.54,154.1,14.08,12.18,7.64,53.83,45.58,14.37,52.225,11.705,2.625,2.605,48.18,41.5,17.235,8.825,16.485,20.375,20.53,7.95,caesar
322,11439.0,20.0,0.0,female,65.75,121.25,28.0,32.0,38.0,1.0,17-25,8.5,9.29,7.4,20.55,30.75,23.35,13.15,13.74,34.92,30.28,32.87,32.13,7.8,35.63,32.87,15.71,15.91,66.38,20.91,22.13,28.94,40.12,119.05,13.29,10.21,6.86,56.74,49.81,13.04,54.86,12.575,2.88,2.345,51.4,42.905,18.625,9.285,18.04,21.825,21.86,7.4,caesar
325,11441.0,20.0,0.0,female,70.87,149.91,31.0,34.0,36.0,1.0,17-25,9.5,9.45,8.7,22.05,32.36,23.66,13.35,15.51,37.09,31.69,36.77,35.04,7.64,40.71,33.46,18.11,17.72,71.3,22.44,26.06,30.51,44.29,158.95,15.15,12.42,8.75,60.72,53.31,15.37,59.05,12.845,3.33,2.96,55.02,46.555,19.06,9.785,18.09,22.53,22.63,8.7,caesar
326,11442.0,34.0,3.0,female,65.75,136.69,29.0,30.0,36.0,1.0,26-35,8.5,9.45,7.52,20.47,29.76,22.24,12.95,15.87,39.33,33.7,37.95,30.31,7.32,39.76,30.83,16.69,16.5,65.28,23.78,27.17,29.69,39.45,145.95,14.15,12.57,7.95,54.89,46.07,14.42,53.385,11.91,3.0,2.475,49.145,42.305,17.325,9.265,15.95,20.17,21.175,7.52,caesar
422,12223.0,38.0,3.0,female,64.17,136.69,29.0,34.0,34.0,1.0,36-45,8.5,9.29,8.07,20.28,30.2,22.13,12.2,14.69,34.92,30.63,34.45,30.39,6.85,38.66,30.2,15.35,15.28,64.09,22.87,25.98,30.0,39.37,142.64,14.61,10.98,7.65,54.02,46.18,13.73,52.0,10.68,3.165,2.705,49.32,41.935,18.015,8.79,16.535,19.18,19.47,8.07,caesar
423,12229.0,50.0,0.0,female,69.29,167.55,34.0,33.0,36.0,3.0,46-55,8.5,9.76,8.19,21.5,31.06,22.87,13.31,19.13,40.51,31.77,38.23,32.56,7.32,42.09,33.78,17.52,17.13,68.94,23.98,30.43,36.69,42.36,170.2,14.5,13.37,8.46,59.11,50.04,15.47,57.32,12.405,3.015,2.99,53.67,45.465,18.745,9.105,17.42,21.3,21.51,8.19,caesar
428,12256.0,28.0,2.0,female,62.99,149.91,32.0,28.0,36.0,3.0,26-35,6.5,9.61,7.6,19.29,29.37,21.77,11.69,15.04,38.03,30.59,35.08,29.65,6.97,42.91,30.67,14.72,16.22,63.98,24.72,27.56,30.04,38.94,155.65,15.49,11.57,8.91,54.17,44.64,14.83,51.915,11.09,2.86,2.22,48.57,41.68,16.94,8.205,15.895,19.11,19.295,7.6,caesar
